Polyculture;Block;Composition;Days;RYT;NE;CE;SE
J0B1LmSp;1;LmSp;0;1.00;-1.09;0.00;-1.09
J0B1LmWc;1;LmWc;0;1.00;-0.23;0.00;-0.23
J0B1LmLt;1;LmLt;0;1.00;-2.29;0.00;-2.29
J0B1SpWc;1;SpWc;0;1.00;-0.33;0.00;-0.33
J0B1SpLt;1;SpLt;0;1.00;-0.19;0.00;-0.19
J0B1WcLt;1;WcLt;0;1.00;-1.07;0.00;-1.07
J0B1LmSpWc;1;LmSpWc;0;1.04;2.37;3.12;-0.75
J0B1LmSpLt;1;LmSpLt;0;1.03;0.37;1.99;-1.61
J0B1LmWcLt;1;LmWcLt;0;1.00;-1.19;0.35;-1.54
J0B1SpWcLt;1;SpWcLt;0;1.01;0.10;0.79;-0.69
J0B1LmSpWcLt;1;LmSpWcLt;0;1.04;1.27;2.55;-1.28
J0B2LmSp;2;LmSp;0;1.00;-0.77;0.00;-0.77
J0B2LmWc;2;LmWc;0;1.00;-0.07;0.00;-0.07
J0B2LmLt;2;LmLt;0;1.00;-1.33;0.00;-1.33
J0B2SpWc;2;SpWc;0;1.00;-0.34;0.00;-0.34
J0B2SpLt;2;SpLt;0;1.00;-0.07;0.00;-0.07
J0B2WcLt;2;WcLt;0;1.00;-0.73;0.00;-0.73
J0B2LmSpWc;2;LmSpWc;0;1.04;2.70;3.23;-0.53
J0B2LmSpLt;2;LmSpLt;0;1.03;1.15;2.14;-0.99
J0B2LmWcLt;2;LmWcLt;0;1.00;-0.53;0.37;-0.91
J0B2SpWcLt;2;SpWcLt;0;1.01;0.38;0.88;-0.50
J0B2LmSpWcLt;2;LmSpWcLt;0;1.04;1.91;2.74;-0.82
J0B3LmSp;3;LmSp;0;1.00;-1.44;0.00;-1.44
J0B3LmWc;3;LmWc;0;1.00;-0.40;0.00;-0.40
J0B3LmLt;3;LmLt;0;1.00;-1.37;0.00;-1.37
J0B3SpWc;3;SpWc;0;1.00;-0.31;0.00;-0.31
J0B3SpLt;3;SpLt;0;1.00;0.08;0.00;0.08
J0B3WcLt;3;WcLt;0;1.00;-0.17;0.00;-0.17
J0B3LmSpWc;3;LmSpWc;0;1.04;2.07;3.04;-0.97
J0B3LmSpLt;3;LmSpLt;0;1.03;0.83;2.11;-1.28
J0B3LmWcLt;3;LmWcLt;0;1.00;-0.50;0.37;-0.86
J0B3SpWcLt;3;SpWcLt;0;1.01;0.64;0.82;-0.19
J0B3LmSpWcLt;3;LmSpWcLt;0;1.04;1.70;2.63;-0.94
J20B1LmSp;1;LmSp;20;0.96;-40.64;-40.65;0.01
J20B1LmWc;1;LmWc;20;0.95;-53.72;-50.51;-3.21
J20B1LmLt;1;LmLt;20;1.37;317.96;227.69;90.26
J20B1SpWc;1;SpWc;20;1.01;11.35;11.30;0.06
J20B1SpLt;1;SpLt;20;1.55;355.89;281.94;73.95
J20B1WcLt;1;WcLt;20;1.64;380.08;329.31;50.77
J20B1LmSpWc;1;LmSpWc;20;0.97;-32.73;-28.86;-3.86
J20B1LmSpLt;1;LmSpLt;20;1.20;92.74;145.95;-53.20
J20B1LmWcLt;1;LmWcLt;20;1.18;190.49;128.08;62.42
J20B1SpWcLt;1;SpWcLt;20;1.37;277.99;247.31;30.69
J20B1LmSpWcLt;1;LmSpWcLt;20;1.17;122.20;131.86;-9.66
J20B2LmSp;2;LmSp;20;1.01;-1.01;5.15;-6.16
J20B2LmWc;2;LmWc;20;0.99;4.46;-9.96;14.42
J20B2LmLt;2;LmLt;20;1.33;185.76;203.74;-17.98
J20B2SpWc;2;SpWc;20;1.01;8.90;13.07;-4.17
J20B2SpLt;2;SpLt;20;1.25;169.24;107.23;62.01
J20B2WcLt;2;WcLt;20;1.44;223.64;228.18;-4.54
J20B2LmSpWc;2;LmSpWc;20;0.97;4.29;-25.98;30.27
J20B2LmSpLt;2;LmSpLt;20;1.31;134.81;210.42;-75.61
J20B2LmWcLt;2;LmWcLt;20;1.31;149.32;225.87;-76.54
J20B2SpWcLt;2;SpWcLt;20;1.56;307.53;345.23;-37.70
J20B2LmSpWcLt;2;LmSpWcLt;20;1.18;122.92;136.68;-13.75
J20B3LmSp;3;LmSp;20;1.06;76.02;53.93;22.08
J20B3LmWc;3;LmWc;20;1.11;101.88;101.99;-0.11
J20B3LmLt;3;LmLt;20;1.66;393.03;329.73;63.30
J20B3SpWc;3;SpWc;20;1.06;52.96;52.39;0.56
J20B3SpLt;3;SpLt;20;1.15;246.84;64.29;182.55
J20B3WcLt;3;WcLt;20;1.36;260.28;178.23;82.05
J20B3LmSpWc;3;LmSpWc;20;1.11;98.19;95.99;2.21
J20B3LmSpLt;3;LmSpLt;20;1.41;275.35;241.49;33.86
J20B3LmWcLt;3;LmWcLt;20;1.25;220.94;161.21;59.73
J20B3SpWcLt;3;SpWcLt;20;1.24;153.08;140.40;12.68
J20B3LmSpWcLt;3;LmSpWcLt;20;1.21;213.78;141.59;72.19
J40B1LmSp;1;LmSp;40;0.95;-57.02;-89.46;32.44
J40B1LmWc;1;LmWc;40;0.91;-192.30;-194.39;2.09
J40B1LmLt;1;LmLt;40;1.50;891.44;548.67;342.77
J40B1SpWc;1;SpWc;40;0.97;-93.56;-63.69;-29.87
J40B1SpLt;1;SpLt;40;1.41;663.84;373.72;290.11
J40B1WcLt;1;WcLt;40;1.27;819.54;289.65;529.90
J40B1LmSpWc;1;LmSpWc;40;0.83;-320.36;-331.52;11.17
J40B1LmSpLt;1;LmSpLt;40;1.19;395.73;248.48;147.25
J40B1LmWcLt;1;LmWcLt;40;1.19;420.45;270.75;149.70
J40B1SpWcLt;1;SpWcLt;40;1.08;299.54;109.63;189.90
J40B1LmSpWcLt;1;LmSpWcLt;40;1.35;530.85;521.63;9.22
J40B2LmSp;2;LmSp;40;1.03;78.76;46.59;32.18
J40B2LmWc;2;LmWc;40;1.02;29.69;31.52;-1.83
J40B2LmLt;2;LmLt;40;1.64;783.07;654.58;128.49
J40B2SpWc;2;SpWc;40;0.91;-139.25;-165.96;26.71
J40B2SpLt;2;SpLt;40;1.61;866.12;522.79;343.33
J40B2WcLt;2;WcLt;40;1.50;855.02;250.73;604.29
J40B2LmSpWc;2;LmSpWc;40;1.01;68.33;20.45;47.88
J40B2LmSpLt;2;LmSpLt;40;1.37;425.65;453.59;-27.94
J40B2LmWcLt;2;LmWcLt;40;1.25;571.31;339.10;232.21
J40B2SpWcLt;2;SpWcLt;40;1.12;404.56;146.37;258.19
J40B2LmSpWcLt;2;LmSpWcLt;40;1.25;463.53;351.58;111.96
J40B3LmSp;3;LmSp;40;1.10;232.26;193.66;38.60
J40B3LmWc;3;LmWc;40;0.99;-26.34;-31.06;4.73
J40B3LmLt;3;LmLt;40;1.73;724.30;800.00;-75.69
J40B3SpWc;3;SpWc;40;0.91;-90.27;-171.10;80.83
J40B3SpLt;3;SpLt;40;1.52;641.66;468.23;173.43
J40B3WcLt;3;WcLt;40;1.24;884.20;273.55;610.64
J40B3LmSpWc;3;LmSpWc;40;0.90;-133.61;-191.39;57.78
J40B3LmSpLt;3;LmSpLt;40;1.26;376.74;340.69;36.05
J40B3LmWcLt;3;LmWcLt;40;1.35;491.63;503.54;-11.90
J40B3SpWcLt;3;SpWcLt;40;1.14;399.50;180.15;219.35
J40B3LmSpWcLt;3;LmSpWcLt;40;1.24;449.58;365.77;83.81
J60B1LmSp;1;LmSp;60;0.92;-79.82;-209.36;129.54
J60B1LmWc;1;LmWc;60;0.97;-105.04;-111.34;6.31
J60B1LmLt;1;LmLt;60;1.83;955.76;1420.23;-464.47
J60B1SpWc;1;SpWc;60;0.85;-402.10;-408.44;6.34
J60B1SpLt;1;SpLt;60;2.06;1031.61;1258.90;-227.28
J60B1WcLt;1;WcLt;60;1.29;1358.75;483.13;875.62
J60B1LmSpWc;1;LmSpWc;60;1.01;32.12;16.22;15.90
J60B1LmSpLt;1;LmSpLt;60;1.69;584.11;1287.08;-702.97
J60B1LmWcLt;1;LmWcLt;60;1.12;430.78;267.25;163.52
J60B1SpWcLt;1;SpWcLt;60;1.41;654.45;753.35;-98.90
J60B1LmSpWcLt;1;LmSpWcLt;60;1.26;468.35;570.56;-102.21
J60B2LmSp;2;LmSp;60;1.04;205.87;105.00;100.87
J60B2LmWc;2;LmWc;60;0.95;-161.06;-162.18;1.12
J60B2LmLt;2;LmLt;60;2.02;1100.16;1754.01;-653.86
J60B2SpWc;2;SpWc;60;0.93;-181.77;-209.37;27.60
J60B2SpLt;2;SpLt;60;2.45;1441.34;1763.96;-322.61
J60B2WcLt;2;WcLt;60;1.27;1277.25;470.12;807.13
J60B2LmSpWc;2;LmSpWc;60;0.94;-15.82;-175.02;159.20
J60B2LmSpLt;2;LmSpLt;60;1.67;647.14;1281.11;-633.98
J60B2LmWcLt;2;LmWcLt;60;1.53;778.12;1181.98;-403.86
J60B2SpWcLt;2;SpWcLt;60;1.19;441.04;353.71;87.33
J60B2LmSpWcLt;2;LmSpWcLt;60;1.13;414.55;284.60;129.95
J60B3LmSp;3;LmSp;60;0.93;-149.02;-183.69;34.68
J60B3LmWc;3;LmWc;60;0.82;-587.97;-578.67;-9.29
J60B3LmLt;3;LmLt;60;2.08;1060.21;1703.76;-643.55
J60B3SpWc;3;SpWc;60;0.82;-575.74;-542.32;-33.42
J60B3SpLt;3;SpLt;60;2.17;983.54;1527.45;-543.90
J60B3WcLt;3;WcLt;60;1.17;1024.98;304.37;720.62
J60B3LmSpWc;3;LmSpWc;60;1.00;-108.50;-12.15;-96.35
J60B3LmSpLt;3;LmSpLt;60;2.29;897.78;2434.97;-1537.19
J60B3LmWcLt;3;LmWcLt;60;1.34;408.75;760.12;-351.37
J60B3SpWcLt;3;SpWcLt;60;1.42;337.93;860.05;-522.13
J60B3LmSpWcLt;3;LmSpWcLt;60;1.23;54.34;514.88;-460.54