Culture;Block;Mixture;Days;Initial_biomass;Final_biomass
J0B1Lm;1;Lm;0;86.36666667;85.9
J0B1Sp;1;Sp;0;67.93333333;67.6
J0B1Wc;1;Wc;0;77.63333333;77.4
J0B1Lt;1;Lt;0;64;55.1
J0B1LmSp;1;LmSp;0;77.15;76.75
J0B1LmWc;1;LmWc;0;82;81.65
J0B1LmLt;1;LmLt;0;75.18333333;70.5
J0B1SpWc;1;SpWc;0;72.78333333;72.5
J0B1SpLt;1;SpLt;0;65.96666667;61.35
J0B1WcLt;1;WcLt;0;70.81666667;66.25
J0B1LmSpWc;1;LmSpWc;0;80.36801587;80.00785714
J0B1LmSpLt;1;LmSpLt;0;75.06166667;71.91857143
J0B1LmWcLt;1;LmWcLt;0;76.67753968;73.57571429
J0B1SpWcLt;1;SpWcLt;0;70.71111111;67.65357143
J0B1LmSpWcLt;1;LmSpWcLt;0;76.40952381;73.91428571
J0B2Lm;2;Lm;0;86.36666667;85.1
J0B2Sp;2;Sp;0;67.93333333;72.2
J0B2Wc;2;Wc;0;77.63333333;82.3
J0B2Lt;2;Lt;0;64;67.2
J0B2LmSp;2;LmSp;0;77.15;78.65
J0B2LmWc;2;LmWc;0;82;83.7
J0B2LmLt;2;LmLt;0;75.18333333;76.15
J0B2SpWc;2;SpWc;0;72.78333333;77.25
J0B2SpLt;2;SpLt;0;65.96666667;69.7
J0B2WcLt;2;WcLt;0;70.81666667;74.75
J0B2LmSpWc;2;LmSpWc;0;80.36801587;83.00404762
J0B2LmSpLt;2;LmSpLt;0;75.06166667;77.17071429
J0B2LmWcLt;2;LmWcLt;0;76.67753968;78.81833333
J0B2SpWcLt;2;SpWcLt;0;70.71111111;74.81904762
J0B2LmSpWcLt;2;LmSpWcLt;0;76.40952381;79.27857143
J0B3Lm;3;Lm;0;86.36666667;88.1
J0B3Sp;3;Sp;0;67.93333333;64
J0B3Wc;3;Wc;0;77.63333333;73.2
J0B3Lt;3;Lt;0;64;69.7
J0B3LmSp;3;LmSp;0;77.15;76.05
J0B3LmWc;3;LmWc;0;82;80.65
J0B3LmLt;3;LmLt;0;75.18333333;78.9
J0B3SpWc;3;SpWc;0;72.78333333;68.6
J0B3SpLt;3;SpLt;0;65.96666667;66.85
J0B3WcLt;3;WcLt;0;70.81666667;71.45
J0B3LmSpWc;3;LmSpWc;0;80.36801587;78.09214286
J0B3LmSpLt;3;LmSpLt;0;75.06166667;76.09571429
J0B3LmWcLt;3;LmWcLt;0;76.67753968;77.63857143
J0B3SpWcLt;3;SpWcLt;0;70.71111111;69.66071429
J0B3LmSpWcLt;3;LmSpWcLt;0;76.40952381;76.03571429
J20B1Lm;1;Lm;20;86.36666667;1154.3
J20B1Sp;1;Sp;20;67.93333333;963.6
J20B1Wc;1;Wc;20;77.63333333;969.5
J20B1Lt;1;Lt;20;64;67.3
J20B1LmSp;1;LmSp;20;77.15;1029.7
J20B1LmWc;1;LmWc;20;82;1013.1
J20B1LmLt;1;LmLt;20;75.18333333;1009.6
J20B1SpWc;1;SpWc;20;72.78333333;978.1
J20B1SpLt;1;SpLt;20;65.96666667;884.7
J20B1WcLt;1;WcLt;20;70.81666667;941.9
J20B1LmSpWc;1;LmSpWc;20;80.36801587;1004.5
J20B1LmSpLt;1;LmSpLt;20;75.06166667;887.5
J20B1LmWcLt;1;LmWcLt;20;76.67753968;990.8
J20B1SpWcLt;1;SpWcLt;20;70.71111111;983
J20B1LmSpWcLt;1;LmSpWcLt;20;76.40952381;953.5
J20B2Lm;2;Lm;20;86.36666667;1178.7
J20B2Sp;2;Sp;20;67.93333333;827.8
J20B2Wc;2;Wc;20;77.63333333;983.8
J20B2Lt;2;Lt;20;64;45.4
J20B2LmSp;2;LmSp;20;77.15;1023.2
J20B2LmWc;2;LmWc;20;82;1090.9
J20B2LmLt;2;LmLt;20;75.18333333;882.1
J20B2SpWc;2;SpWc;20;72.78333333;919.9
J20B2SpLt;2;SpLt;20;65.96666667;617.5
J20B2WcLt;2;WcLt;20;70.81666667;783.4
J20B2LmSpWc;2;LmSpWc;20;80.36801587;1014.3
J20B2LmSpLt;2;LmSpLt;20;75.06166667;889.5
J20B2LmWcLt;2;LmWcLt;20;76.67753968;958.2
J20B2SpWcLt;2;SpWcLt;20;70.71111111;964.8
J20B2LmSpWcLt;2;LmSpWcLt;20;76.40952381;925.67
J20B3Lm;3;Lm;20;86.36666667;939.4
J20B3Sp;3;Sp;20;67.93333333;775.6
J20B3Wc;3;Wc;20;77.63333333;940.5
J20B3Lt;3;Lt;20;64;57.1
J20B3LmSp;3;LmSp;20;77.15;943.3
J20B3LmWc;3;LmWc;20;82;1041.8
J20B3LmLt;3;LmLt;20;75.18333333;956.9
J20B3SpWc;3;SpWc;20;72.78333333;916.5
J20B3SpLt;3;SpLt;20;65.96666667;673.9
J20B3WcLt;3;WcLt;20;70.81666667;801.6
J20B3LmSpWc;3;LmSpWc;20;80.36801587;988.5
J20B3LmSpLt;3;LmSpLt;20;75.06166667;920
J20B3LmWcLt;3;LmWcLt;20;76.67753968;924
J20B3SpWcLt;3;SpWcLt;20;70.71111111;780
J20B3LmSpWcLt;3;LmSpWcLt;20;76.40952381;927.1
J40B1Lm;1;Lm;40;86.36666667;2088.4
J40B1Sp;1;Sp;40;67.93333333;1700.5
J40B1Wc;1;Wc;40;77.63333333;2071.5
J40B1Lt;1;Lt;40;64;113.1
J40B1LmSp;1;LmSp;40;77.15;1860.6
J40B1LmWc;1;LmWc;40;82;1888.1
J40B1LmLt;1;LmLt;40;75.18333333;2139.1
J40B1SpWc;1;SpWc;40;72.78333333;1804.8
J40B1SpLt;1;SpLt;40;65.96666667;1594.3
J40B1WcLt;1;WcLt;40;70.81666667;2006.1
J40B1LmSpWc;1;LmSpWc;40;80.36801587;1645.5
J40B1LmSpLt;1;LmSpLt;40;75.06166667;1817.4
J40B1LmWcLt;1;LmWcLt;40;76.67753968;1973.2
J40B1SpWcLt;1;SpWcLt;40;70.71111111;1674
J40B1LmSpWcLt;1;LmSpWcLt;40;76.40952381;2102.8
J40B2Lm;2;Lm;40;86.36666667;1958.8
J40B2Sp;2;Sp;40;67.93333333;1622.5
J40B2Wc;2;Wc;40;77.63333333;2065.3
J40B2Lt;2;Lt;40;64;90.8
J40B2LmSp;2;LmSp;40;77.15;1889.5
J40B2LmWc;2;LmWc;40;82;2038.9
J40B2LmLt;2;LmLt;40;75.18333333;1946.8
J40B2SpWc;2;SpWc;40;72.78333333;1719.4
J40B2SpLt;2;SpLt;40;65.96666667;1745.6
J40B2WcLt;2;WcLt;40;70.81666667;2028.1
J40B2LmSpWc;2;LmSpWc;40;80.36801587;1959.9
J40B2LmSpLt;2;LmSpLt;40;75.06166667;1763.8
J40B2LmWcLt;2;LmWcLt;40;76.67753968;2064.9
J40B2SpWcLt;2;SpWcLt;40;70.71111111;1743.5
J40B2LmSpWcLt;2;LmSpWcLt;40;76.40952381;1972.8
J40B3Lm;3;Lm;40;86.36666667;2066.1
J40B3Sp;3;Sp;40;67.93333333;1684.6
J40B3Wc;3;Wc;40;77.63333333;2162.3
J40B3Lt;3;Lt;40;64;121.9
J40B3LmSp;3;LmSp;40;77.15;2130.4
J40B3LmWc;3;LmWc;40;82;2085.3
J40B3LmLt;3;LmLt;40;75.18333333;1962.9
J40B3SpWc;3;SpWc;40;72.78333333;1849.1
J40B3SpLt;3;SpLt;40;65.96666667;1568.2
J40B3WcLt;3;WcLt;40;70.81666667;2124.5
J40B3LmSpWc;3;LmSpWc;40;80.36801587;1848.3
J40B3LmSpLt;3;LmSpLt;40;75.06166667;1786.7
J40B3LmWcLt;3;LmWcLt;40;76.67753968;2068.6
J40B3SpWcLt;3;SpWcLt;40;70.71111111;1804.3
J40B3LmSpWcLt;3;LmSpWcLt;40;76.40952381;2036.1
J60B1Lm;1;Lm;60;86.36666667;3238
J60B1Sp;1;Sp;60;67.93333333;2192.1
J60B1Wc;1;Wc;60;77.63333333;3139
J60B1Lt;1;Lt;60;64;177.2
J60B1LmSp;1;LmSp;60;77.15;2697.7
J60B1LmWc;1;LmWc;60;82;3086.1
J60B1LmLt;1;LmLt;60;75.18333333;2891
J60B1SpWc;1;SpWc;60;72.78333333;2295
J60B1SpLt;1;SpLt;60;65.96666667;2246.3
J60B1WcLt;1;WcLt;60;70.81666667;3159.4
J60B1LmSpWc;1;LmSpWc;60;80.36801587;2922.5
J60B1LmSpLt;1;LmSpLt;60;75.06166667;2645.2
J60B1LmWcLt;1;LmWcLt;60;76.67753968;2814.2
J60B1SpWcLt;1;SpWcLt;60;70.71111111;2606.9
J60B1LmSpWcLt;1;LmSpWcLt;60;76.40952381;2774.6
J60B2Lm;2;Lm;60;86.36666667;3309.8
J60B2Sp;2;Sp;60;67.93333333;2301.4
J60B2Wc;2;Wc;60;77.63333333;3300
J60B2Lt;2;Lt;60;64;127.3
J60B2LmSp;2;LmSp;60;77.15;3071.7
J60B2LmWc;2;LmWc;60;82;3144.1
J60B2LmLt;2;LmLt;60;75.18333333;3055.4
J60B2SpWc;2;SpWc;60;72.78333333;2652.2
J60B2SpLt;2;SpLt;60;65.96666667;2688.1
J60B2WcLt;2;WcLt;60;70.81666667;3143.6
J60B2LmSpWc;2;LmSpWc;60;80.36801587;2986.4
J60B2LmSpLt;2;LmSpLt;60;75.06166667;2758.8
J60B2LmWcLt;2;LmWcLt;60;76.67753968;3230.8
J60B2SpWcLt;2;SpWcLt;60;70.71111111;2475.4
J60B2LmSpWcLt;2;LmSpWcLt;60;76.40952381;2799.3
J60B3Lm;3;Lm;60;86.36666667;3041
J60B3Sp;3;Sp;60;67.93333333;2510
J60B3Wc;3;Wc;60;77.63333333;3476.1
J60B3Lt;3;Lt;60;64;104.6
J60B3LmSp;3;LmSp;60;77.15;2658.2
J60B3LmWc;3;LmWc;60;82;2659
J60B3LmLt;3;LmLt;60;75.18333333;2851.4
J60B3SpWc;3;SpWc;60;72.78333333;2449.5
J60B3SpLt;3;SpLt;60;65.96666667;2326.7
J60B3WcLt;3;WcLt;60;70.81666667;2977.6
J60B3LmSpWc;3;LmSpWc;60;80.36801587;2912.3
J60B3LmSpLt;3;LmSpLt;60;75.06166667;2962.4
J60B3LmWcLt;3;LmWcLt;60;76.67753968;2808.8
J60B3SpWcLt;3;SpWcLt;60;70.71111111;2501.7
J60B3LmSpWcLt;3;LmSpWcLt;60;76.40952381;2456.1